"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-04","Canada","2016A000011124","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062990","1.2.3.7.1.1","2049.6","","","","1"
"2024-04","Canada","2016A000011124","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062847","1.3.2.2.1.1","1406.2","","","","1"
"2024-04","Canada","2016A000011124","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062955","1.3.2.6.1.1","6992.7","","","","1"
"2024-04","Canada","2016A000011124","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062982","1.3.2.7.1.1","2399.0","","","","1"
"2024-04","Canada","2016A000011124","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062856","1.3.3.2.1.1","1306.2","","","","1"
"2024-04","Canada","2016A000011124","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062964","1.3.3.6.1.1","6433.8","","","","1"
"2024-04","Canada","2016A000011124","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062991","1.3.3.7.1.1","1953.2","","","","1"
"2024-04","Canada","2016A000011124","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062850","1.6.2.2.1.1","210.4","","","","1"
"2024-04","Canada","2016A000011124","Unemployment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062958","1.6.2.6.1.1","395.3","","","","1"
"2024-04","Canada","2016A000011124","Unemployment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062985","1.6.2.7.1.1","117.3","","","","1"
"2024-04","Canada","2016A000011124","Unemployment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062859","1.6.3.2.1.1","187.6","","","","1"
"2024-04","Canada","2016A000011124","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062967","1.6.3.6.1.1","330.4","","","","1"
"2024-04","Canada","2016A000011124","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062994","1.6.3.7.1.1","96.4","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063034","2.1.2.2.1.1","30.2","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063142","2.1.2.6.1.1","94.1","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063169","2.1.2.7.1.1","102.0","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063043","2.1.3.2.1.1","27.8","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063151","2.1.3.6.1.1","96.7","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063178","2.1.3.7.1.1","109.5","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063035","2.2.2.2.1.1","18.7","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063143","2.2.2.6.1.1","84.1","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063170","2.2.2.7.1.1","34.4","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063044","2.2.3.2.1.1","18.8","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063152","2.2.3.6.1.1","82.0","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063179","2.2.3.7.1.1","30.6","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063036","2.3.2.2.1.1","15.4","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063144","2.3.2.6.1.1","75.4","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063171","2.3.2.7.1.1","30.1","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063045","2.3.3.2.1.1","17.0","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063153","2.3.3.6.1.1","78.3","","","","1"
"2024-04","Newfoundland and Labrador","2016A000210","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063180","2.3.3.7.1.1","28.0","","","","1"
