"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-05","Canada","2016A000011124","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057615","1.13.1.1","707.0","","","","1"
"2024-05","Canada","2016A000011124","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057616","1.14.1.1","1521.5","","","","1"
"2024-05","Canada","2016A000011124","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057617","1.15.1.1","2808.8","","","","1"
"2024-05","Canada","2016A000011124","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057618","1.16.1.1","841.5","","","","1"
"2024-05","Canada","2016A000011124","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057619","1.17.1.1","1141.2","","","","1"
"2024-05","Canada","2016A000011124","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057620","1.18.1.1","806.3","","","","1"
"2024-05","Canada","2016A000011124","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057621","1.19.1.1","1221.6","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Total employed, all industries","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057622","2.1.1.1","242.0","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.0","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","16.5","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057626","2.5.1.1","2.0","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057627","2.6.1.1","20.0","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057628","2.7.1.1","11.1","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057630","2.9.1.1","37.9","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057631","2.10.1.1","12.8","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057632","2.11.1.1","8.1","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057633","2.12.1.1","11.6","","","","1"
"2024-05","Newfoundland and Labrador","2016A000210","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057634","2.13.1.1","6.2","","","","1"
