"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Males","65 years and over","Percentage","242","units","0","v2586416","2.8.3.2.9","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","15 years and over","Percentage","242","units","0","v2586506","2.8.3.3.1","20.9","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","15 years and over","Percentage","242","units","0","v2586506","2.8.3.3.1","20.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","15 years and over","Percentage","242","units","0","v2586506","2.8.3.3.1","15.9","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","15 years and over","Percentage","242","units","0","v2586506","2.8.3.3.1","14.5","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","15 years and over","Percentage","242","units","0","v2586506","2.8.3.3.1","18.2","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2586596","2.8.3.3.2","33.3","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2586596","2.8.3.3.2","23.5","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2586596","2.8.3.3.2","18.8","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2586596","2.8.3.3.2","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","15 to 24 years","Percentage","242","units","0","v2586596","2.8.3.3.2","22.2","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2586686","2.8.3.3.3","12.7","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2586686","2.8.3.3.3","17.6","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2586686","2.8.3.3.3","13.5","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2586686","2.8.3.3.3","17.0","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 years and over","Percentage","242","units","0","v2586686","2.8.3.3.3","12.2","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2586776","2.8.3.3.4","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2586776","2.8.3.3.4","","x","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2586776","2.8.3.3.4","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2586776","2.8.3.3.4","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 to 44 years","Percentage","242","units","0","v2586776","2.8.3.3.4","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2586866","2.8.3.3.5","11.9","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2586866","2.8.3.3.5","17.1","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2586866","2.8.3.3.5","16.7","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2586866","2.8.3.3.5","15.4","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","45 years and over","Percentage","242","units","0","v2586866","2.8.3.3.5","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2586956","2.8.3.3.6","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2586956","2.8.3.3.6","","x","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2586956","2.8.3.3.6","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2586956","2.8.3.3.6","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","25 to 54 years","Percentage","242","units","0","v2586956","2.8.3.3.6","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2587046","2.8.3.3.7","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2587046","2.8.3.3.7","18.5","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2587046","2.8.3.3.7","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2587046","2.8.3.3.7","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","55 years and over","Percentage","242","units","0","v2587046","2.8.3.3.7","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2587136","2.8.3.3.8","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2587136","2.8.3.3.8","21.7","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2587136","2.8.3.3.8","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2587136","2.8.3.3.8","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","55 to 64 years","Percentage","242","units","0","v2587136","2.8.3.3.8","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","65 years and over","Percentage","242","units","0","v2587226","2.8.3.3.9","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","65 years and over","Percentage","242","units","0","v2587226","2.8.3.3.9","","x","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","65 years and over","Percentage","242","units","0","v2587226","2.8.3.3.9","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","65 years and over","Percentage","242","units","0","v2587226","2.8.3.3.9","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some high school","Females","65 years and over","Percentage","242","units","0","v2587226","2.8.3.3.9","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v2585697","2.8.4.2.1","16.4","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v2585697","2.8.4.2.1","21.2","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v2585697","2.8.4.2.1","19.3","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v2585697","2.8.4.2.1","15.8","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","15 years and over","Percentage","242","units","0","v2585697","2.8.4.2.1","15.6","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","15 to 24 years","Percentage","242","units","0","v2585787","2.8.4.2.2","18.8","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","15 to 24 years","Percentage","242","units","0","v2585787","2.8.4.2.2","23.2","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","15 to 24 years","Percentage","242","units","0","v2585787","2.8.4.2.2","23.0","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","15 to 24 years","Percentage","242","units","0","v2585787","2.8.4.2.2","19.0","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","15 to 24 years","Percentage","242","units","0","v2585787","2.8.4.2.2","20.9","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 years and over","Percentage","242","units","0","v2585877","2.8.4.2.3","15.2","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 years and over","Percentage","242","units","0","v2585877","2.8.4.2.3","20.5","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 years and over","Percentage","242","units","0","v2585877","2.8.4.2.3","18.1","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 years and over","Percentage","242","units","0","v2585877","2.8.4.2.3","14.8","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 years and over","Percentage","242","units","0","v2585877","2.8.4.2.3","13.8","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 to 44 years","Percentage","242","units","0","v2585967","2.8.4.2.4","15.5","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 to 44 years","Percentage","242","units","0","v2585967","2.8.4.2.4","22.9","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 to 44 years","Percentage","242","units","0","v2585967","2.8.4.2.4","17.9","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 to 44 years","Percentage","242","units","0","v2585967","2.8.4.2.4","13.9","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 to 44 years","Percentage","242","units","0","v2585967","2.8.4.2.4","14.1","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","45 years and over","Percentage","242","units","0","v2586057","2.8.4.2.5","15.1","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","45 years and over","Percentage","242","units","0","v2586057","2.8.4.2.5","18.7","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","45 years and over","Percentage","242","units","0","v2586057","2.8.4.2.5","18.1","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","45 years and over","Percentage","242","units","0","v2586057","2.8.4.2.5","15.5","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","45 years and over","Percentage","242","units","0","v2586057","2.8.4.2.5","13.5","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 to 54 years","Percentage","242","units","0","v2586147","2.8.4.2.6","14.5","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 to 54 years","Percentage","242","units","0","v2586147","2.8.4.2.6","20.5","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 to 54 years","Percentage","242","units","0","v2586147","2.8.4.2.6","17.9","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 to 54 years","Percentage","242","units","0","v2586147","2.8.4.2.6","14.0","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","25 to 54 years","Percentage","242","units","0","v2586147","2.8.4.2.6","12.6","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","55 years and over","Percentage","242","units","0","v2586237","2.8.4.2.7","18.2","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","55 years and over","Percentage","242","units","0","v2586237","2.8.4.2.7","19.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","55 years and over","Percentage","242","units","0","v2586237","2.8.4.2.7","18.3","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","55 years and over","Percentage","242","units","0","v2586237","2.8.4.2.7","16.4","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","55 years and over","Percentage","242","units","0","v2586237","2.8.4.2.7","16.1","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","55 to 64 years","Percentage","242","units","0","v2586327","2.8.4.2.8","17.3","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","55 to 64 years","Percentage","242","units","0","v2586327","2.8.4.2.8","18.4","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","55 to 64 years","Percentage","242","units","0","v2586327","2.8.4.2.8","19.1","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","55 to 64 years","Percentage","242","units","0","v2586327","2.8.4.2.8","17.4","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","55 to 64 years","Percentage","242","units","0","v2586327","2.8.4.2.8","15.2","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","65 years and over","Percentage","242","units","0","v2586417","2.8.4.2.9","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","65 years and over","Percentage","242","units","0","v2586417","2.8.4.2.9","","x","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","65 years and over","Percentage","242","units","0","v2586417","2.8.4.2.9","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","65 years and over","Percentage","242","units","0","v2586417","2.8.4.2.9","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Males","65 years and over","Percentage","242","units","0","v2586417","2.8.4.2.9","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","15 years and over","Percentage","242","units","0","v2586507","2.8.4.3.1","13.2","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","15 years and over","Percentage","242","units","0","v2586507","2.8.4.3.1","14.6","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","15 years and over","Percentage","242","units","0","v2586507","2.8.4.3.1","14.1","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","15 years and over","Percentage","242","units","0","v2586507","2.8.4.3.1","15.2","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","15 years and over","Percentage","242","units","0","v2586507","2.8.4.3.1","13.2","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","15 to 24 years","Percentage","242","units","0","v2586597","2.8.4.3.2","11.1","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","15 to 24 years","Percentage","242","units","0","v2586597","2.8.4.3.2","14.3","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","15 to 24 years","Percentage","242","units","0","v2586597","2.8.4.3.2","14.6","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","15 to 24 years","Percentage","242","units","0","v2586597","2.8.4.3.2","14.3","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","15 to 24 years","Percentage","242","units","0","v2586597","2.8.4.3.2","14.5","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 years and over","Percentage","242","units","0","v2586687","2.8.4.3.3","13.2","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 years and over","Percentage","242","units","0","v2586687","2.8.4.3.3","14.7","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 years and over","Percentage","242","units","0","v2586687","2.8.4.3.3","13.9","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 years and over","Percentage","242","units","0","v2586687","2.8.4.3.3","14.8","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 years and over","Percentage","242","units","0","v2586687","2.8.4.3.3","12.8","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 to 44 years","Percentage","242","units","0","v2586777","2.8.4.3.4","12.5","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 to 44 years","Percentage","242","units","0","v2586777","2.8.4.3.4","17.5","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 to 44 years","Percentage","242","units","0","v2586777","2.8.4.3.4","19.6","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 to 44 years","Percentage","242","units","0","v2586777","2.8.4.3.4","14.3","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 to 44 years","Percentage","242","units","0","v2586777","2.8.4.3.4","10.3","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","45 years and over","Percentage","242","units","0","v2586867","2.8.4.3.5","13.8","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","45 years and over","Percentage","242","units","0","v2586867","2.8.4.3.5","13.1","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","45 years and over","Percentage","242","units","0","v2586867","2.8.4.3.5","11.8","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","45 years and over","Percentage","242","units","0","v2586867","2.8.4.3.5","15.1","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","45 years and over","Percentage","242","units","0","v2586867","2.8.4.3.5","14.4","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 to 54 years","Percentage","242","units","0","v2586957","2.8.4.3.6","12.9","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 to 54 years","Percentage","242","units","0","v2586957","2.8.4.3.6","15.2","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 to 54 years","Percentage","242","units","0","v2586957","2.8.4.3.6","14.9","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 to 54 years","Percentage","242","units","0","v2586957","2.8.4.3.6","12.8","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","25 to 54 years","Percentage","242","units","0","v2586957","2.8.4.3.6","10.5","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","55 years and over","Percentage","242","units","0","v2587047","2.8.4.3.7","14.0","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","55 years and over","Percentage","242","units","0","v2587047","2.8.4.3.7","14.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","55 years and over","Percentage","242","units","0","v2587047","2.8.4.3.7","12.5","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","55 years and over","Percentage","242","units","0","v2587047","2.8.4.3.7","17.9","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","55 years and over","Percentage","242","units","0","v2587047","2.8.4.3.7","18.0","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","55 to 64 years","Percentage","242","units","0","v2587137","2.8.4.3.8","15.7","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","55 to 64 years","Percentage","242","units","0","v2587137","2.8.4.3.8","14.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","55 to 64 years","Percentage","242","units","0","v2587137","2.8.4.3.8","11.3","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","55 to 64 years","Percentage","242","units","0","v2587137","2.8.4.3.8","20.0","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","55 to 64 years","Percentage","242","units","0","v2587137","2.8.4.3.8","20.0","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","65 years and over","Percentage","242","units","0","v2587227","2.8.4.3.9","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","65 years and over","Percentage","242","units","0","v2587227","2.8.4.3.9","","x","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","65 years and over","Percentage","242","units","0","v2587227","2.8.4.3.9","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","65 years and over","Percentage","242","units","0","v2587227","2.8.4.3.9","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","High school graduate","Females","65 years and over","Percentage","242","units","0","v2587227","2.8.4.3.9","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","15 years and over","Percentage","242","units","0","v2585698","2.8.5.2.1","10.3","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","15 years and over","Percentage","242","units","0","v2585698","2.8.5.2.1","18.0","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","15 years and over","Percentage","242","units","0","v2585698","2.8.5.2.1","18.0","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","15 years and over","Percentage","242","units","0","v2585698","2.8.5.2.1","15.4","","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","15 years and over","Percentage","242","units","0","v2585698","2.8.5.2.1","12.7","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","15 to 24 years","Percentage","242","units","0","v2585788","2.8.5.2.2","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","15 to 24 years","Percentage","242","units","0","v2585788","2.8.5.2.2","23.1","","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","15 to 24 years","Percentage","242","units","0","v2585788","2.8.5.2.2","17.9","","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","15 to 24 years","Percentage","242","units","0","v2585788","2.8.5.2.2","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","15 to 24 years","Percentage","242","units","0","v2585788","2.8.5.2.2","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 years and over","Percentage","242","units","0","v2585878","2.8.5.2.3","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 years and over","Percentage","242","units","0","v2585878","2.8.5.2.3","","x","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 years and over","Percentage","242","units","0","v2585878","2.8.5.2.3","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 years and over","Percentage","242","units","0","v2585878","2.8.5.2.3","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 years and over","Percentage","242","units","0","v2585878","2.8.5.2.3","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 to 44 years","Percentage","242","units","0","v2585968","2.8.5.2.4","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 to 44 years","Percentage","242","units","0","v2585968","2.8.5.2.4","","x","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 to 44 years","Percentage","242","units","0","v2585968","2.8.5.2.4","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 to 44 years","Percentage","242","units","0","v2585968","2.8.5.2.4","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 to 44 years","Percentage","242","units","0","v2585968","2.8.5.2.4","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","45 years and over","Percentage","242","units","0","v2586058","2.8.5.2.5","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","45 years and over","Percentage","242","units","0","v2586058","2.8.5.2.5","","x","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","45 years and over","Percentage","242","units","0","v2586058","2.8.5.2.5","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","45 years and over","Percentage","242","units","0","v2586058","2.8.5.2.5","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","45 years and over","Percentage","242","units","0","v2586058","2.8.5.2.5","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 to 54 years","Percentage","242","units","0","v2586148","2.8.5.2.6","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 to 54 years","Percentage","242","units","0","v2586148","2.8.5.2.6","","x","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 to 54 years","Percentage","242","units","0","v2586148","2.8.5.2.6","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 to 54 years","Percentage","242","units","0","v2586148","2.8.5.2.6","","x","","","1"
"2023","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","25 to 54 years","Percentage","242","units","0","v2586148","2.8.5.2.6","","x","","","1"
"2019","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","55 years and over","Percentage","242","units","0","v2586238","2.8.5.2.7","","x","","","1"
"2020","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","55 years and over","Percentage","242","units","0","v2586238","2.8.5.2.7","","x","","","1"
"2021","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","55 years and over","Percentage","242","units","0","v2586238","2.8.5.2.7","","x","","","1"
"2022","Newfoundland and Labrador","2016A000210","Unemployment rate","Some postsecondary","Males","55 years and over","Percentage","242","units","0","v2586238","2.8.5.2.7","","x","","","1"
