"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-03","Prince Edward Island","2016A000211","Unemployment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063345","3.6.3.6.1.1","1.3","","","","1"
"2024-03","Prince Edward Island","2016A000211","Unemployment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063372","3.6.3.7.1.1","0.9","","","","1"
"2024-03","Nova Scotia","2016A000212","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063412","4.1.2.2.1.1","61.8","","","","1"
"2024-03","Nova Scotia","2016A000212","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063520","4.1.2.6.1.1","188.7","","","","1"
"2024-03","Nova Scotia","2016A000212","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063547","4.1.2.7.1.1","178.0","","","","1"
"2024-03","Nova Scotia","2016A000212","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063421","4.1.3.2.1.1","58.3","","","","1"
"2024-03","Nova Scotia","2016A000212","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063529","4.1.3.6.1.1","199.0","","","","1"
"2024-03","Nova Scotia","2016A000212","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063556","4.1.3.7.1.1","196.7","","","","1"
"2024-03","Nova Scotia","2016A000212","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063413","4.2.2.2.1.1","41.9","","","","1"
"2024-03","Nova Scotia","2016A000212","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063521","4.2.2.6.1.1","169.6","","","","1"
"2024-03","Nova Scotia","2016A000212","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063548","4.2.2.7.1.1","68.7","","","","1"
"2024-03","Nova Scotia","2016A000212","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063422","4.2.3.2.1.1","39.1","","","","1"
"2024-03","Nova Scotia","2016A000212","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063530","4.2.3.6.1.1","172.0","","","","1"
"2024-03","Nova Scotia","2016A000212","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063557","4.2.3.7.1.1","59.1","","","","1"
"2024-03","Nova Scotia","2016A000212","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063414","4.3.2.2.1.1","38.4","","","","1"
"2024-03","Nova Scotia","2016A000212","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063522","4.3.2.6.1.1","158.6","","","","1"
"2024-03","Nova Scotia","2016A000212","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063549","4.3.2.7.1.1","64.7","","","","1"
"2024-03","Nova Scotia","2016A000212","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063423","4.3.3.2.1.1","34.9","","","","1"
"2024-03","Nova Scotia","2016A000212","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063531","4.3.3.6.1.1","162.9","","","","1"
"2024-03","Nova Scotia","2016A000212","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2063558","4.3.3.7.1.1","56.8","","","","1"
