"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-02","Canada","2016A000011124","Population","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062845","1.1.2.2.1.1","2488.6","","","","1"
"2024-02","Canada","2016A000011124","Population","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062953","1.1.2.6.1.1","7947.6","","","","1"
"2024-02","Canada","2016A000011124","Population","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062980","1.1.2.7.1.1","5993.5","","","","1"
"2024-02","Canada","2016A000011124","Population","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062854","1.1.3.2.1.1","2339.5","","","","1"
"2024-02","Canada","2016A000011124","Population","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062962","1.1.3.6.1.1","7861.6","","","","1"
"2024-02","Canada","2016A000011124","Population","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062989","1.1.3.7.1.1","6531.0","","","","1"
"2024-02","Canada","2016A000011124","Labour force","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062846","1.2.2.2.1.1","1583.6","","","","1"
"2024-02","Canada","2016A000011124","Labour force","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062954","1.2.2.6.1.1","7319.6","","","","1"
"2024-02","Canada","2016A000011124","Labour force","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062981","1.2.2.7.1.1","2522.6","","","","1"
"2024-02","Canada","2016A000011124","Labour force","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062855","1.2.3.2.1.1","1470.5","","","","1"
"2024-02","Canada","2016A000011124","Labour force","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062963","1.2.3.6.1.1","6711.8","","","","1"
"2024-02","Canada","2016A000011124","Labour force","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062990","1.2.3.7.1.1","2055.3","","","","1"
"2024-02","Canada","2016A000011124","Employment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062847","1.3.2.2.1.1","1392.7","","","","1"
"2024-02","Canada","2016A000011124","Employment","Males","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062955","1.3.2.6.1.1","6932.2","","","","1"
"2024-02","Canada","2016A000011124","Employment","Males","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062982","1.3.2.7.1.1","2407.1","","","","1"
"2024-02","Canada","2016A000011124","Employment","Females","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062856","1.3.3.2.1.1","1307.5","","","","1"
"2024-02","Canada","2016A000011124","Employment","Females","25 to 54 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062964","1.3.3.6.1.1","6400.9","","","","1"
"2024-02","Canada","2016A000011124","Employment","Females","55 years and over","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062991","1.3.3.7.1.1","1962.6","","","","1"
"2024-02","Canada","2016A000011124","Unemployment","Males","15 to 24 years","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2062850","1.6.2.2.1.1","190.8","","","","1"
